Titulo,Autores,Resumen,Fecha,Etiquetas,URL
Familia tenía “protocolo de emergencia”: hijos escapan por el techo tras violento asalto en La Reina,T13,"La familia contaba con un ""protocolo de emergencia"" ante estos casos. El violento asalto terminó con el hurto de vehículos y artículos electrónicos.",3 de Abril de 2024 - 13:31 hrs.,"['la reina', 'asalto', 'región metropolitana', 'carabineros']",https://www.t13.cl/noticia/nacional/familia-tenia-protocolo-emergencia-hijos-escapan-por-techo-violento-asalto-reina
Decretan prisión preventiva a mujer que abandonó a bebé en Recoleta,T13Aton,"Se trata de una mujer de 25 años de nacionalidad peruana, quien se encontraba de manera irregular en el país.",3 de Abril de 2024 - 12:56 hrs.,"['Mujer abandonó a bebé en mochila', 'recoleta', 'prisión preventiva', 'región metropolitana']",https://www.t13.cl/noticia/nacional/decretan-prision-preventiva-mujer-abandono-bebe-recoleta-3-4-2024
"""Mátalo, tortúralo, castígalo"": Los mensajes encontrados en las paredes de casa tomada en Barrio Brasil",T13,"""Se prenderán todos en el fuego del horno"", ""Mátalo, tortúralo, castígalo"", ""el miedo te ase débil"" y ""la maldad existe"", fueron algunos de los mensajes encontrados.",3 de Abril de 2024 - 10:00 hrs.,"['casa tomada', 'barrio brasil', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/el-miedo-ase-debil-torturalo-mensajes-encontrados-casa-tomada-barrio-brasil-3-4-2024
Detienen a mujer acusada de abandonar a bebé en una mochila en Recoleta,T13,"Según información preliminar, la madre es una mujer de 25 años de nacionalidad peruana y se entregó en la Octava Comisaría de Carabineros en Colina.",3 de Abril de 2024 - 06:10 hrs.,"['bebé', 'recoleta', 'carabineros', 'región metropolitana']",https://www.t13.cl/noticia/nacional/detienen-mujer-acusada-abandonar-bebe-una-mochila-recoleta-3-4-2024
Motorista se dio a la fuga durante fiscalización y dejó a su pareja abandonada en el lugar,T13,"Carabineros inició una persecución del motorista que se fugó, en contra del tránsito, de la fiscalización que se realizaba en La Pintana.",2 de Abril de 2024 - 11:10 hrs.,"['Fiscalización en La Pintana', 'la pintana', 'región metropolitana', 'carabineros']",https://www.t13.cl/noticia/nacional/motorista-se-dio-fuga-durante-fiscalizacion-dejo-su-pareja-abandonada-lugar-2-4-2024
Lluvia en Santiago para este martes: ¿A qué hora podrían caer algunas gotas?,T13,"Si bien para esta jornada se esperan cielos cubiertos sin lluvia, existiría la posibilidad de que caigan algunas ""gotitas"" en algunos sectores de la RM.",2 de Abril de 2024 - 08:56 hrs.,"['lluvia', 'región metropolitana', 'santiago', 'gotitas']",https://www.t13.cl/noticia/nacional/lluvia-santiago-este-martes-hora-podrian-caer-algunas-gotas-2-4-2024
"Crónica: Cómo la delincuencia y las drogas cambiaron Lo Valledor, el mayor mercado de Santiago",Ex-Ante,"Es el mercado más grande de Santiago, pero batalla contra un feroz aumento de la delincuencia, que ha aumentado. En Lo Valledor y sus alrededores se mezclan chilenos, venezolanos, colombianos, haitianos y peruanos. Salir en las calles de noche es arriesgarse a ser asaltado o algo peor. Lo que sí es fácil es comprar drogas en las afueras. “Todo cambió en 2019, igual que Chile”, dice Víctor, dueño de un almacén italiano.",2 de Abril de 2024 - 08:01 hrs.,"['ex-ante', 'lo valledor', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/ex-ante/nacional/cronica-como-delincuencia-las-drogas-cambiaron-lo-valledor-mayor-mercado-santia-2-4-2024
Incautaron armas en población La Victoria: Sospechoso escapó por los techos,Aton,Al interior de una de las viviendas se encontró una mochila que contenía diferentes tipos de armamento y municiones.,2 de Abril de 2024 - 06:40 hrs.,"['carabineros', 'población la victoria', 'pedro aguirre cerda', 'región metropolitana']",https://www.t13.cl/noticia/nacional/incautaron-armas-poblacion-victoria-sospechoso-escapo-por-techos-2-4-2024
Detienen a funcionarios de la PDI acusados de disparar a padre e hijo que confundieron con delincuentes,T13,Los detectives de la PDI dispararon en contra de un padre y su hijo tras confundirlos con delincuentes cuando realizaban patrullajes preventivos.,2 de Abril de 2024 - 06:27 hrs.,"['policía de investigaciones', 'colina', 'región metropolitana', 'carabineros']",https://www.t13.cl/noticia/nacional/detienen-funcionarios-pdi-acusados-disparar-padre-e-hijo-confundieron-delincuen-2-4-2024
Mujer disparó en contra de guardias de Lo Valledor para evadir control,Carolina Mardones,"Según información preliminar, una persona intentó evadir el control y disparó en contra de los guardias que estaban en el lugar.",1 de Abril de 2024 - 08:34 hrs.,"['lo valledor', 'región metropolitana', 'disparos', 'carabineros']",https://www.t13.cl/noticia/nacional/mujer-disparo-contra-guardias-lo-valledor-para-evadir-control-1-4-2024
